0,1,2,output
5586,4,4139,508
4,4139,508,412
4139,508,412,348
508,412,348,29
412,348,29,23
348,29,23,16
29,23,16,1499
23,16,1499,3
16,1499,3,10005
1499,3,10005,0
3,10005,0,369
10005,0,369,97
0,369,97,1607
369,97,1607,33
97,1607,33,50
1607,33,50,75
33,50,75,1715
50,75,1715,31
75,1715,31,9240
1715,31,9240,0
31,9240,0,6967
9240,0,6967,4
0,6967,4,10386
6967,4,10386,3956
4,10386,3956,100
10386,3956,100,2
3956,100,2,1258
100,2,1258,1373
2,1258,1373,11
1258,1373,11,47
1373,11,47,70
11,47,70,27
47,70,27,2
70,27,2,481
27,2,481,811
2,481,811,68
481,811,68,3
811,68,3,3238
68,3,3238,538
3,3238,538,474
3238,538,474,70
538,474,70,80
474,70,80,4016
70,80,4016,11
80,4016,11,140
4016,11,140,1505
11,140,1505,2685
140,1505,2685,9024
1505,2685,9024,1
2685,9024,1,5730
9024,1,5730,11
1,5730,11,3827
5730,11,3827,0
11,3827,0,340
3827,0,340,554
0,340,554,100
340,554,100,5607
554,100,5607,3
100,5607,3,11
5607,3,11,192
3,11,192,6073
11,192,6073,6761
192,6073,6761,1
6073,6761,1,7
6761,1,7,55
1,7,55,669
7,55,669,29
55,669,29,31
669,29,31,40
29,31,40,871
31,40,871,4485
40,871,4485,1944
871,4485,1944,34
4485,1944,34,20
1944,34,20,0
34,20,0,194
20,0,194,101
0,194,101,63
194,101,63,29
101,63,29,111
63,29,111,3
29,111,3,204
111,3,204,58
3,204,58,17
204,58,17,1052
58,17,1052,4329
17,1052,4329,449
1052,4329,449,40
4329,449,40,6500
449,40,6500,1930
40,6500,1930,4
6500,1930,4,223
1930,4,223,559
4,223,559,55
223,559,55,0
559,55,0,1346
55,0,1346,9
0,1346,9,67
1346,9,67,460
9,67,460,7
67,460,7,53
460,7,53,209
7,53,209,19
53,209,19,2
209,19,2,151
19,2,151,36
2,151,36,9793
151,36,9793,47
36,9793,47,29
9793,47,29,423
47,29,423,9
29,423,9,70
423,9,70,45
9,70,45,5
70,45,5,16
45,5,16,15
5,16,15,81
16,15,81,2
15,81,2,234
81,2,234,16
2,234,16,15
234,16,15,81
16,15,81,2
15,81,2,1155
81,2,1155,14
2,1155,14,15
1155,14,15,194
14,15,194,3
15,194,3,115
194,3,115,8669
3,115,8669,553
115,8669,553,6978
8669,553,6978,26
553,6978,26,7870
6978,26,7870,237
26,7870,237,84
7870,237,84,32
237,84,32,2
84,32,2,441
32,2,441,1092
2,441,1092,149
441,1092,149,13
1092,149,13,5
149,13,5,10
13,5,10,2
5,10,2,7741
10,2,7741,684
2,7741,684,11
7741,684,11,135
684,11,135,4731
11,135,4731,2852
135,4731,2852,14
4731,2852,14,0
2852,14,0,332
14,0,332,426
0,332,426,2281
332,426,2281,4
426,2281,4,2494
2281,4,2494,4
4,2494,4,181
2494,4,181,194
4,181,194,132
181,194,132,36
194,132,36,4
132,36,4,0
36,4,0,5266
4,0,5266,1471
0,5266,1471,8
5266,1471,8,484
1471,8,484,264
8,484,264,1
484,264,1,17
264,1,17,2
1,17,2,241
17,2,241,4
2,241,4,3001
241,4,3001,6194
4,3001,6194,20
3001,6194,20,2
6194,20,2,60
20,2,60,2971
2,60,2971,13
60,2971,13,12
2971,13,12,74
13,12,74,3
12,74,3,0
74,3,0,2241
3,0,2241,9381
0,2241,9381,2
2241,9381,2,8968
9381,2,8968,2017
2,8968,2017,4
8968,2017,4,144
2017,4,144,421
4,144,421,830
144,421,830,41
421,830,41,0
830,41,0,2229
41,0,2229,8293
0,2229,8293,4
2229,8293,4,2
8293,4,2,3886
4,2,3886,160
2,3886,160,1128
3886,160,1128,18
160,1128,18,0
1128,18,0,278
18,0,278,4
0,278,4,35
278,4,35,1572
4,35,1572,3946
35,1572,3946,181
1572,3946,181,32
3946,181,32,40
181,32,40,2356
32,40,2356,6690
40,2356,6690,2531
2356,6690,2531,58
6690,2531,58,32
2531,58,32,1324
58,32,1324,3418
32,1324,3418,4
1324,3418,4,4268
3418,4,4268,6277
4,4268,6277,0
4268,6277,0,10238
6277,0,10238,976
0,10238,976,4
10238,976,4,12
976,4,12,1867
4,12,1867,0
12,1867,0,156
1867,0,156,82
0,156,82,17
156,82,17,26
82,17,26,431
17,26,431,26
26,431,26,28
431,26,28,4
26,28,4,1853
28,4,1853,20
4,1853,20,3794
1853,20,3794,20
20,3794,20,12
3794,20,12,185
20,12,185,30
12,185,30,38
185,30,38,902
30,38,902,82
38,902,82,77
902,82,77,1091
82,77,1091,902
77,1091,902,865
1091,902,865,7
902,865,7,40
865,7,40,902
7,40,902,74
40,902,74,375
902,74,375,7
74,375,7,0
375,7,0,74
7,0,74,30
0,74,30,484
74,30,484,1
30,484,1,7
484,1,7,0
1,7,0,538
7,0,538,737
0,538,737,1769
538,737,1769,30
737,1769,30,231
1769,30,231,9
30,231,9,129
231,9,129,30
9,129,30,38
129,30,38,6
30,38,6,302
38,6,302,82
6,302,82,77
302,82,77,38
82,77,38,7
77,38,7,2
38,7,2,302
7,2,302,1
2,302,1,1923
302,1,1923,2067
1,1923,2067,749
1923,2067,749,36
2067,749,36,4
749,36,4,42
36,4,42,4162
4,42,4162,1540
42,4162,1540,150
4162,1540,150,2
1540,150,2,4625
150,2,4625,401
2,4625,401,163
4625,401,163,545
401,163,545,7
163,545,7,0
545,7,0,1222
7,0,1222,4
0,1222,4,0
1222,4,0,218
4,0,218,650
0,218,650,44
218,650,44,158
650,44,158,6
44,158,6,8
158,6,8,25
6,8,25,2
8,25,2,691
25,2,691,128
2,691,128,16
691,128,16,1570
128,16,1570,626
16,1570,626,375
1570,626,375,48
626,375,48,199
375,48,199,3
48,199,3,3465
199,3,3465,91
3,3465,91,0
3465,91,0,4242
91,0,4242,1554
0,4242,1554,988
4242,1554,988,10359
1554,988,10359,0
988,10359,0,331
10359,0,331,60
0,331,60,2988
331,60,2988,1059
60,2988,1059,8
2988,1059,8,199
1059,8,199,20
8,199,20,1709
199,20,1709,1
20,1709,1,9996
1709,1,9996,20
1,9996,20,117
9996,20,117,0
20,117,0,60
117,0,60,77
0,60,77,22
60,77,22,3168
77,22,3168,135
22,3168,135,2
3168,135,2,986
135,2,986,1879
2,986,1879,1
986,1879,1,0
1879,1,0,2356
1,0,2356,181
0,2356,181,114
2356,181,114,28
181,114,28,3086
114,28,3086,3151
28,3086,3151,63
3086,3151,63,430
3151,63,430,1681
63,430,1681,32
430,1681,32,2
1681,32,2,3169
32,2,3169,3343
2,3169,3343,407
3169,3343,407,18
3343,407,18,0
407,18,0,84
18,0,84,4
0,84,4,0
84,4,0,3124
4,0,3124,476
0,3124,476,7437
3124,476,7437,0
476,7437,0,331
7437,0,331,409
0,331,409,124
331,409,124,137
409,124,137,661
124,137,661,3
137,661,3,2573
661,3,2573,98
3,2573,98,28
2573,98,28,4
98,28,4,0
28,4,0,259
4,0,259,4
0,259,4,713
259,4,713,1
4,713,1,1913
713,1,1913,5
1,1913,5,58
1913,5,58,121
5,58,121,81
58,121,81,3
121,81,3,8804
81,3,8804,9
3,8804,9,0
8804,9,0,691
9,0,691,128
0,691,128,596
691,128,596,5886
128,596,5886,109
596,5886,109,2717
5886,109,2717,296
109,2717,296,73
2717,296,73,1263
296,73,1263,2629
73,1263,2629,2
1263,2629,2,730
2629,2,730,4
2,730,4,209
730,4,209,2055
4,209,2055,2
209,2055,2,327
2055,2,327,401
2,327,401,150
327,401,150,0
401,150,0,798
150,0,798,4
0,798,4,181
798,4,181,73
4,181,73,916
181,73,916,5
73,916,5,107
916,5,107,1
5,107,1,455
107,1,455,1955
1,455,1955,0
455,1955,0,1693
1955,0,1693,2408
0,1693,2408,12
1693,2408,12,451
2408,12,451,220
12,451,220,0
451,220,0,58
220,0,58,1573
0,58,1573,0
58,1573,0,60
1573,0,60,254
0,60,254,2
60,254,2,806
254,2,806,4
2,806,4,720
806,4,720,75
4,720,75,100
720,75,100,1903
75,100,1903,7
100,1903,7,0
1903,7,0,8432
7,0,8432,6901
0,8432,6901,4
8432,6901,4,0
6901,4,0,3169
4,0,3169,5902
0,3169,5902,2151
3169,5902,2151,231
5902,2151,231,28
2151,231,28,1309
231,28,1309,1
28,1309,1,212
1309,1,212,12
1,212,12,3666
212,12,3666,84
12,3666,84,38
3666,84,38,668
84,38,668,9243
38,668,9243,4
668,9243,4,3781
9243,4,3781,12
4,3781,12,4429
3781,12,4429,8511
12,4429,8511,12
4429,8511,12,2123
8511,12,2123,1572
12,2123,1572,12
2123,1572,12,410
1572,12,410,211
12,410,211,38
410,211,38,1922
211,38,1922,28
38,1922,28,140
1922,28,140,102
28,140,102,424
140,102,424,10
102,424,10,3
424,10,3,2031
10,3,2031,0
3,2031,0,4463
2031,0,4463,4
0,4463,4,0
4463,4,0,1112
4,0,1112,64
0,1112,64,0
1112,64,0,462
64,0,462,1654
0,462,1654,32
462,1654,32,7199
1654,32,7199,811
32,7199,811,40
7199,811,40,4005
811,40,4005,1978
40,4005,1978,100
4005,1978,100,2135
1978,100,2135,279
100,2135,279,13
2135,279,13,0
279,13,0,752
13,0,752,29
0,752,29,221
752,29,221,1032
29,221,1032,1
221,1032,1,8
1032,1,8,221
1,8,221,3439
8,221,3439,999
221,3439,999,207
3439,999,207,3656
999,207,3656,1
207,3656,1,207
3656,1,207,3656
1,207,3656,25
207,3656,25,153
3656,25,153,4219
25,153,4219,837
153,4219,837,1978
4219,837,1978,7
837,1978,7,0
1978,7,0,200
7,0,200,5
0,200,5,106
200,5,106,0
5,106,0,4075
106,0,4075,750
0,4075,750,7
4075,750,7,48
750,7,48,308
7,48,308,1
48,308,1,41
308,1,41,3
1,41,3,2297
41,3,2297,1487
3,2297,1487,0
2297,1487,0,234
1487,0,234,47
0,234,47,114
234,47,114,13
47,114,13,0
114,13,0,370
13,0,370,508
0,370,508,481
370,508,481,53
508,481,53,727
481,53,727,50
53,727,50,1350
727,50,1350,5
50,1350,5,106
1350,5,106,0
5,106,0,522
106,0,522,1505
0,522,1505,7
522,1505,7,0
1505,7,0,308
7,0,308,48
0,308,48,2708
308,48,2708,61
48,2708,61,6529
2708,61,6529,8877
61,6529,8877,1
6529,8877,1,1171
8877,1,1171,2954
1,1171,2954,8876
1171,2954,8876,0
2954,8876,0,793
8876,0,793,55
0,793,55,47
793,55,47,9
55,47,9,31
47,9,31,2
9,31,2,9326
31,2,9326,1980
2,9326,1980,64
9326,1980,64,2
1980,64,2,1009
64,2,1009,4
2,1009,4,1
1009,4,1,67
4,1,67,54
1,67,54,1032
67,54,1032,1219
54,1032,1219,8
1032,1219,8,19
1219,8,19,2
8,19,2,408
19,2,408,60
2,408,60,135
408,60,135,41
60,135,41,163
135,41,163,871
41,163,871,4
163,871,4,1198
871,4,1198,6450
4,1198,6450,29
1198,6450,29,31
6450,29,31,479
29,31,479,1032
31,479,1032,7418
479,1032,7418,15
1032,7418,15,54
7418,15,54,491
15,54,491,194
54,491,194,1
491,194,1,29
194,1,29,1226
1,29,1226,3
29,1226,3,2402
1226,3,2402,26
3,2402,26,17
2402,26,17,3402
26,17,3402,44
17,3402,44,19
3402,44,19,39
44,19,39,1154
19,39,1154,600
39,1154,600,17
1154,600,17,34
600,17,34,60
17,34,60,57
34,60,57,8
60,57,8,7680
57,8,7680,88
8,7680,88,48
7680,88,48,2492
88,48,2492,47
48,2492,47,1032
2492,47,1032,1033
47,1032,1033,2
1032,1033,2,773
1033,2,773,7
2,773,7,12
773,7,12,338
7,12,338,29
12,338,29,753
338,29,753,47
29,753,47,5
753,47,5,43
47,5,43,27
5,43,27,2
43,27,2,1785
27,2,1785,5675
2,1785,5675,0
1785,5675,0,3934
5675,0,3934,8
0,3934,8,519
3934,8,519,43
8,519,43,27
519,43,27,2
43,27,2,2492
27,2,2492,3934
2,2492,3934,0
2492,3934,0,9603
3934,0,9603,8
0,9603,8,754
9603,8,754,43
8,754,43,8248
754,43,8248,110
43,8248,110,9604
8248,110,9604,63
110,9604,63,263
9604,63,263,1227
63,263,1227,482
263,1227,482,1
1227,482,1,0
482,1,0,773
1,0,773,6832
0,773,6832,33
773,6832,33,2
6832,33,2,4133
33,2,4133,2429
2,4133,2429,36
4133,2429,36,106
2429,36,106,80
36,106,80,6727
106,80,6727,1495
80,6727,1495,2135
6727,1495,2135,3763
1495,2135,3763,15
2135,3763,15,575
3763,15,575,3
15,575,3,59
575,3,59,5
3,59,5,15
59,5,15,33
5,15,33,5
15,33,5,19
33,5,19,2
5,19,2,3041
19,2,3041,3897
2,3041,3897,8
3041,3897,8,106
3897,8,106,1093
8,106,1093,4790
106,1093,4790,535
1093,4790,535,559
4790,535,559,1
535,559,1,212
559,1,212,0
1,212,0,279
212,0,279,4
0,279,4,7513
279,4,7513,6496
4,7513,6496,19
7513,6496,19,0
6496,19,0,1575
19,0,1575,4
0,1575,4,366
1575,4,366,1586
4,366,1586,29
366,1586,29,31
1586,29,31,431
29,31,431,26
31,431,26,2080
431,26,2080,611
26,2080,611,4
2080,611,4,12
611,4,12,559
4,12,559,1
12,559,1,8
559,1,8,1406
1,8,1406,173
8,1406,173,52
1406,173,52,273
173,52,273,17
52,273,17,2
273,17,2,10412
17,2,10412,1
2,10412,1,2
10412,1,2,10415
1,2,10415,11
2,10415,11,9100
10415,11,9100,79
11,9100,79,52
9100,79,52,2
79,52,2,3004
52,2,3004,3003
